name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J054419.3+283140,blue,86.080495,28.527861,526.579000,,1331.641000,722.500000,,,12.154000,11.844000,7.998000,6.153000,14.847000,13.641000,13.410000,2.238000,4.950000
HPPSC070A_J050547.1-234902,blue,76.446604,-23.817112,118.598000,,333.937000,,,,14.222000,14.018000,10.008000,7.943000,15.590000,14.775000,14.584000,2.981000,4.975000
HPPSC070A_J215058.6+562734,blue,327.744375,56.459562,167.022000,,569.477000,,,,,,,,15.609000,14.416000,13.508000,1.928000,4.934000
HPPSC070A_J045146.2+302246,blue,72.942826,30.379494,321.368000,,785.671000,404.100000,,,12.947000,12.657000,8.500000,6.145000,15.736000,14.891000,14.410000,2.071000,4.950000
HPPSC070A_J083921.4+045157,blue,129.839193,4.865718,47.132000,,103.036000,93.600000,50.100000,,15.498000,15.190000,11.452000,8.276000,,,,4.916000,4.907000
HPPSC070A_J045426.8+450040,blue,73.611700,45.011246,128.473000,,492.822000,344.400000,,,12.651000,12.413000,9.042000,7.392000,15.517000,14.849000,13.424000,4.452000,4.975000
HPPSC070A_J045148.8+464822,blue,72.953701,46.806217,172.168000,,285.073000,140.400000,,,13.571000,13.287000,9.280000,6.633000,16.098000,15.065000,14.351000,2.071000,4.253000
HPPSC070A_J064648.6+004133,blue,101.702748,0.692511,775.416000,,1643.898000,,,,12.020000,11.795000,7.662000,5.822000,14.872000,13.804000,12.714000,2.071000,4.975000
HPPSC070A_J112051.3+132928,blue,170.213783,13.491071,10.378000,16.594000,21.423000,,,,16.708000,16.418000,12.303000,8.465000,,,,2.770000,4.950000
HPPSC070A_J002616.3+642133,blue,6.568015,64.359219,1026.665000,,1825.041000,,,,12.376000,11.881000,7.546000,5.731000,15.761000,15.339000,14.239000,1.928000,4.975000
HPPSC070A_J112003.5+134410,blue,170.014862,13.736076,15.902000,28.352000,,,,,16.369000,16.110000,12.013000,8.752000,,,,2.941000,4.975000
HPPSC070A_J232700.8+011250,blue,351.753607,1.213787,17.618000,,51.164000,,,,15.271000,14.882000,11.578000,8.814000,17.101000,16.449000,15.730000,4.452000,4.975000
HPPSC070A_J164000.9-222320,blue,250.003807,-22.388954,645.921000,,2178.976000,1100.500000,622.200000,,11.718000,11.523000,7.442000,5.375000,15.195000,14.062000,13.433000,2.071000,4.790000
HPPSC070A_J104236.6-761214,blue,160.652608,-76.203844,113.203000,,193.538000,166.000000,68.100000,,13.197000,12.947000,9.575000,7.963000,15.351000,14.470000,13.945000,4.495000,3.290000
HPPSC070A_J125128.3+411051,blue,192.867907,41.180735,46.488000,76.493000,98.539000,68.100000,,,,,,,,,,2.398000,2.222000
HPPSC070A_J061000.8-054029,blue,92.503725,-5.674744,97.680000,,,161.400000,,,13.295000,12.927000,9.532000,7.301000,15.888000,14.820000,14.126000,2.128000,2.310000
HPPSC070A_J031615.1-022239,blue,49.063276,-2.377487,51.740000,95.591000,158.438000,77.500000,,,,,,,15.955000,15.428000,14.990000,1.927000,0.408000
HPPSC070A_J153957.4-341457,blue,234.989271,-34.249199,548.851000,,1445.729000,731.500000,296.600000,,11.394000,11.206000,7.494000,5.754000,13.708000,12.939000,12.387000,2.981000,3.290000
HPPSC070A_J132908.7+470514,blue,202.286598,47.087277,28.202000,,79.329000,30.700000,,,15.866000,15.513000,11.662000,8.897000,,,,4.916000,4.950000
HPPSC070A_J061306.4-072039,blue,93.276660,-7.344285,66.880000,,,,,,14.093000,13.803000,10.188000,7.969000,16.201000,15.493000,14.709000,2.238000,4.975000
HPPSC070A_J031800.4-663451,blue,49.501965,-66.580796,11.082000,,,,,,,,,,,,,,
HPPSC070A_J124201.6+411757,blue,190.507033,41.299100,28.346000,70.587000,,53.800000,26.800000,,14.891000,14.408000,10.855000,8.906000,,,,3.012000,4.253000
HPPSC070A_J120304.6-015640,blue,180.769551,-1.944528,56.605000,77.175000,92.070000,,,,14.955000,14.632000,11.205000,8.314000,,,,3.023000,4.975000
HPPSC070A_J032554.4+563347,blue,51.476922,56.562996,404.824000,,624.703000,,,,11.865000,11.723000,8.345000,6.139000,15.156000,13.685000,12.927000,2.071000,4.975000
HPPSC070A_J032908.4+310910,blue,52.284998,31.152845,147.637000,230.398000,258.834000,,,,13.140000,12.949000,9.248000,7.405000,16.300000,15.182000,14.477000,2.071000,4.975000
HPPSC070A_J104955.1+325926,blue,162.479926,32.990454,2975.672000,3245.055000,3591.670000,,573.800000,,11.192000,10.848000,6.005000,2.801000,13.287000,12.628000,12.403000,1.928000,2.310000
HPPSC070A_J091205.9+600250,blue,138.024876,60.047122,22.865000,,,,,,15.530000,15.281000,11.617000,8.465000,,,,2.552000,4.975000
HPPSC070A_J114312.9+195727,blue,175.804119,19.957584,12.514000,,,,,,16.602000,16.908000,12.321000,9.021000,,,,2.407000,4.975000
HPPSC070A_J052742.4+370633,blue,81.926734,37.109264,261.634000,,,,,,13.959000,13.704000,9.719000,7.868000,,,,2.552000,4.975000
HPPSC070A_J055952.4+252827,blue,89.968520,25.474186,244.811000,,408.417000,224.900000,,,13.372000,13.081000,9.169000,6.897000,15.842000,15.110000,14.280000,2.071000,4.841000
HPPSC070A_J094718.3+675220,blue,146.826381,67.872260,33.466000,33.738000,,,,,16.039000,16.676000,12.004000,9.025000,,,,2.780000,4.980000
HPPSC070A_J164032.3-210018,blue,250.134865,-21.004953,226.476000,,364.567000,160.400000,,,12.768000,12.467000,9.113000,7.345000,14.946000,14.092000,13.668000,3.023000,4.363000
HPPSC070A_J063931.6+085935,blue,99.881969,8.993152,149.909000,,297.288000,,,,13.242000,12.966000,9.252000,7.271000,16.538000,15.441000,14.786000,2.071000,4.975000
HPPSC070A_J033646.1-355957,blue,54.192237,-35.999075,5195.915000,5408.824000,5538.175000,2293.100000,1071.400000,436.100000,8.934000,8.088000,4.642000,2.046000,11.578000,10.827000,10.260000,1.243000,0.938000
