name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J112051.3+132928,blue,170.213783,13.491071,10.378,16.594,21.423,,,,16.708,16.418,12.303,8.465,,,,2.77,4.95
HPPSC070A_J002616.3+642133,blue,6.568015,64.359219,1026.665,,1825.041,,,,12.376,11.881,7.546,5.731,15.761,15.339,14.239,1.928,4.975
HPPSC070A_J112003.5+134410,blue,170.014862,13.736076,15.902,28.352,,,,,16.369,16.11,12.013,8.752,,,,2.941,4.975
HPPSC070A_J061000.8-054029,blue,92.503725,-5.674744,97.68,,,161.4,,,13.295,12.927,9.532,7.301,15.888,14.82,14.126,2.128,2.31
HPPSC070A_J031615.1-022239,blue,49.063276,-2.377487,51.74,95.591,158.438,77.5,,,,,,,15.955,15.428,14.99,1.927,0.408
HPPSC070A_J033646.1-355957,blue,54.192237,-35.999075,5195.915,5408.824,5538.175,2293.1,1071.4,436.1,8.934,8.088,4.642,2.046,11.578,10.827,10.26,1.243,0.938
HPPSC070A_J205827.3-423755,blue,314.614012,-42.631829,20.956,28.445,,,,,15.259,14.33,10.476,7.499,,,,2.328,1.818
HPPSC070A_J095502.6-013032,blue,148.760968,-1.509,9.643,,,,,,15.432,14.907,11.786,8.72,,,,2.846,1.385
HPPSC070A_J085950.9-003756,blue,134.962209,-0.632188,52.549,,100.904,86.3,74.9,,16.565,14.371,9.357,6.723,,,,2.302,2.467
HPPSC070A_J113322.9+242819,blue,173.345513,24.471916,12.919,,46.639,,,,15.784,15.2,11.206,8.36,,,,3.834,4.975
HPPSC070A_J172546.3+572210,blue,261.443103,57.369412,21.237,,63.569,,,,18.282,16.814,10.304,7.348,,,,2.539,4.263
HPPSC070A_J095720.8+684741,blue,149.336895,68.794612,44.078,,91.619,57.8,,,14.093,13.889,10.38,8.788,16.313,15.71,14.674,3.637,3.29
HPPSC070A_J105143.7+335927,blue,162.932477,33.990893,34.081,49.521,,,,,12.257,11.224,8.432,6.202,15.253,14.552,13.606,0,0
HPPSC070A_J013415.6+302745,blue,23.564999,30.462497,108.191,,222.002,,,,13.392,13.067,9.623,6.883,15.546,14.756,14.097,2.981,4.975
HPPSC070A_J012719.4-322505,blue,21.830874,-32.418136,28.503,,,,,,14.877,13.756,10.234,7.695,,,,2.257,1.711
HPPSC070A_J123605.8+275030,blue,189.024505,27.841528,25.201,39.106,41.1,,,,15.872,15.185,11.229,8.535,,,,3.023,4.975
HPPSC070A_J013345.7+642059,blue,23.440457,64.349838,165.54,,349.746,434.7,,,13.356,12.048,8.91,5.246,15.368,14.82,14.574,1.955,4.145
HPPSC070A_J124218.1-782037,blue,190.575665,-78.34355,117.807,,,,,,13.903,13.531,9.989,7.664,16.013,15.275,14.616,2.071,4.975
HPPSC070A_J052927.0+330109,blue,82.362865,33.01915,178.961,,246.216,,,,12.79,11.715,8.535,6.064,16.209,15.29,14.139,1.928,1.713
HPPSC070A_J194240.6-101926,blue,295.669199,-10.323821,565.328,,,,,,9.353,8.807,6.088,3.635,12.248,11.416,10.779,4.784,0
HPPSC070A_J021918.1+612940,blue,34.825425,61.494411,1434.107,,2960.445,,,,10.431,8.927,6.506,4.194,16.527,15.241,13.327,1.251,4.975
HPPSC070A_J230008.1+021208,blue,345.034037,2.202278,30.624,,86.314,114.2,101.8,,17.422,15.786,9.939,7.035,,,,2.941,4.043
HPPSC070A_J094615.3+394348,blue,146.563836,39.729905,12.498,,,51,,,15.518,15.07,11.31,8.733,,,,4.971,4.975
HPPSC070A_J065245.5-004356,blue,103.18973,-0.73224,1788.195,,4383.52,2977.1,2128,,10.619,9.852,5.948,3.966,14.407,13.616,12.393,1.933,4.003
HPPSC070A_J045905.6+413158,blue,74.773721,41.53286,538.376,,1275.131,575.8,247.6,,11.504,10.721,7.174,4.974,15.253,14.096,13.512,1.928,2.31
HPPSC070A_J055157.2+284801,blue,87.988451,28.800214,112.569,,219,147.4,54.4,,13.465,13.31,9.196,7.174,15.923,14.96,14.654,2.071,2.31
HPPSC070A_J085832.7+441930,blue,134.636244,44.324981,25.674,,72.72,60.4,,,14.392,13.995,10.678,8.303,16.625,15.373,15.292,4.638,4.95
HPPSC070A_J041416.8+241434,blue,63.570301,24.242677,146.757,,413.559,235.2,,,12.973,12.765,8.941,7.066,15.428,14.66,14.353,2.981,4.95
HPPSC070A_J003850.0+645940,blue,9.708416,64.994453,176.198,,464.609,292.4,,,12.869,11.825,8.771,6.662,15.405,15.214,14.523,2.071,4.95
HPPSC070A_J075938.3+504919,blue,119.90961,50.822065,12.537,25.176,29.249,,,,14.897,13.936,11.223,8.85,,,,4.916,4.848
HPPSC070A_J041210.2+515817,blue,63.042483,51.971423,181.738,,658.437,,,,11.129,10.089,6.896,5.241,15.656,14.817,13.307,0.518,0.408
HPPSC070A_J124210.8+323941,blue,190.545245,32.661527,13.088,28.999,30.609,,,,17.521,16.836,12.316,8.901,,,,3.023,4.98
HPPSC070A_J113942.5+315434,blue,174.927072,31.909373,1808.829,,2559.696,1105.2,544,,10.279,9.883,6.405,4.026,12.475,11.538,10.859,2.309,1.459
HPPSC070A_J141314.9-031228,blue,213.312148,-3.207752,8742.496,8121.531,5465.857,1915.4,778.2,299.3,7.357,6.193,3.698,1.084,12.072,10.434,9.037,0.279,0.131
HPPSC070A_J175226.7-060712,blue,268.111571,-6.119973,47.864,,,151.4,,,13.318,13.058,10.201,7.886,16.06,15.104,14.345,4.765,0.002
HPPSC070A_J095621.7+695142,blue,149.090507,69.861662,38.366,,57.535,42.8,,,14.682,14.161,10.408,7.874,16.591,15.956,15.385,2.238,2.31
HPPSC070A_J122546.7+123945,blue,186.444585,12.662425,5420.32,6429.85,7248.77,2643.4,1332.8,,9.044,8.031,4.61,1.516,12.482,11.73,11.066,1.144,1.243
HPPSC070A_J004021.8+413408,blue,10.090953,41.568903,101.959,204.933,256.769,171.7,,,13.33,13.127,9.291,7.434,15.521,14.926,14.492,2.981,4.95
HPPSC070A_J121039.3+010426,blue,182.664095,1.074012,24.366,37.756,45.783,,,,15.645,15.044,11.004,8.386,,,,3.023,4.975
HPPSC070A_J125310.4-031435,blue,193.293484,-3.24296,22.82,35.477,,,,,15.98,15.116,11.168,8.259,,,,2.703,4.975
HPPSC070A_J234027.4+634901,blue,355.114388,63.817057,2050.705,,3799.69,,,,11.706,10.718,6.114,3.758,16.321,15.167,14.374,1.928,4.975
HPPSC070A_J073148.7-192156,blue,112.952952,-19.365443,14547.17,,19433.318,,,,10.107,9.422,4.328,1.155,14.697,13.687,13.013,1.928,4.592
HPPSC070A_J073634.2-215340,blue,114.142508,-21.89436,8337.388,,13194.209,5936.6,,,9.734,9.148,4.04,1.997,13.409,12.832,12.358,1.928,2.479
HPPSC070A_J060910.4+164151,blue,92.293608,16.697583,3733.412,,6285.046,,,,11.415,9.563,6.049,2.573,16.846,15.222,13.058,1.928,4.95
HPPSC070A_J055706.1+215911,blue,89.27546,21.986494,1333.072,,2291.522,,,,13.346,11.22,8.847,4.076,16.995,15.948,14.882,1.928,4.975
HPPSC070A_J060710.8-062651,blue,91.795332,-6.447583,419.421,,,,,,11.421,9.792,7.91,5.703,16.455,14.47,13.177,0.574,0.547
HPPSC070A_J075624.4-323219,blue,119.102027,-32.538641,98.3,,,115.7,,,12.783,12.075,9.204,6.6,16.524,15.516,14.447,1.254,0.753
HPPSC070A_J161357.4+654311,blue,243.48924,65.719843,712.983,907.86,738.718,357.1,141.4,48,10.192,9.157,6.364,4.015,13.165,12.478,11.414,0.675,0.003
HPPSC070A_J114300.2+195557,blue,175.750853,19.932375,14.791,21.076,27.622,,,,17.093,16.343,12.161,8.391,,,,2.849,4.95
HPPSC070A_J072756.5-204008,blue,111.985442,-20.66901,18999.025,,21599.173,,,,9.977,9.151,4.303,1.304,13.671,13.42,13.043,1.928,4.975
HPPSC070A_J062233.0+125556,blue,95.63758,12.932254,144.297,,336.747,257.5,172,,11.633,10.46,7.046,4.836,15.1,14.013,13.282,0.566,0.321
HPPSC070A_J005440.3+155356,blue,13.668095,15.898901,11.916,19.339,28.213,,,,15.925,15.621,11.748,9.171,,,,3.751,4.975
HPPSC070A_J091713.1+420039,blue,139.304753,42.01085,35.082,46.491,53.991,,,,15.337,14.69,10.539,7.39,,,,2.542,4.145
HPPSC070A_J122646.0+035731,blue,186.691711,3.958519,31.12,,69.803,,,,15.609,14.953,10.653,7.943,,,,3.023,4.975
HPPSC070A_J062352.1+142845,blue,95.967315,14.479164,112.422,175.171,,,,,12.592,11.464,9.038,5.832,16.1,15.114,13.975,1.253,0.746
HPPSC070A_J051712.0+392150,blue,79.300173,39.363771,20359.806,,40103.993,,,,9.771,9.057,4.037,0.71,14.3,13.67,12.922,1.928,4.991
HPPSC070A_J074805.8-741607,blue,117.024304,-74.26875,38.181,,,,,,17.271,15.885,9.958,7.263,,,,2.257,4.605
HPPSC070A_J220150.6+584001,blue,330.461074,58.667047,176.136,,796.33,,,,11.464,10.473,7.445,5.171,16.349,14.853,13.654,1.141,1.027
HPPSC070A_J225449.3+595247,blue,343.705588,59.879772,32209.626,,,,,,8.755,8.016,3.069,-0.348,13.141,12.23,11.623,1.144,4.95
HPPSC070A_J030536.6+601110,blue,46.402493,60.186218,397.967,,,,,,11.279,10.131,7.323,4.098,16.168,14.317,12.662,0.458,0.675
HPPSC070A_J202312.6+392504,blue,305.802675,39.417815,25380.603,,35326.172,,,,8.797,7.555,4.328,0.635,13.978,12.087,10.79,1.928,4.975
HPPSC070A_J082851.9-403905,blue,127.216614,-40.651281,192.568,,,,,,12.288,11.495,8.38,5.627,15.334,14.956,13.845,1.144,1.453
HPPSC070A_J033131.8+152019,blue,52.882729,15.338511,29.984,,,66,,,18.246,16.718,10.459,7.145,,,,2.325,4.158
HPPSC070A_J053358.5-340135,blue,83.493832,-34.026282,39.424,,90.125,110,83.2,57.1,17.872,16.026,9.982,7.112,,,,2.846,3.841
HPPSC070A_J111450.5+550209,blue,168.710683,55.035774,22.176,,65.624,73.1,,,14.327,12.944,9.827,8.33,,,,4.934,1.607
HPPSC070A_J071224.3-111534,blue,108.101333,-11.259563,13340.742,,17442.37,,,,8.522,6.413,4.011,0.86,14.643,12.361,9.924,1.144,1.538
HPPSC070A_J122737.7+435921,blue,186.907197,43.989212,46.937,63.225,,,,,16.224,14.407,9.779,7.169,,,,2.328,4.382
HPPSC070A_J124619.7-010510,blue,191.582161,-1.086135,22.244,27.713,,,,,14.897,13.848,10.871,8.237,16.829,15.852,15.507,2.398,0.003
HPPSC070A_J222959.7+751405,blue,337.498804,75.234764,983.25,1218.15,1532.332,,,,11.31,9.845,7.106,3.646,16.701,14.409,12.54,1.928,2.399
HPPSC070A_J113316.0+501035,blue,173.316902,50.176311,12.597,23.191,36.3,,,,16.171,15.671,11.626,8.396,,,,3.012,4.95
HPPSC070A_J124156.9+322742,blue,190.487112,32.461619,20.508,40.387,78.039,64,,,14.348,13.981,10.934,8.517,16.742,16.073,15.115,4.495,4.95
