name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J035409.4+024930,blue,58.539557,2.825096,185.957,,,,,,11.283,10.226,7.094,4.544,14.189,13.263,12.309,0.036
HPPSC070A_J074901.3-261443,blue,117.25552,-26.245204,518.731,,1037.174,522.7,214.9,,10.3,10.249,8.107,6.743,12.952,11.913,11.38,0.008239
HPPSC070A_J080446.4+104635,blue,121.1935,10.776423,634.92,,1428.438,768.5,365.6,151.7,10.782,10.261,7.276,5.2,13.58,12.754,12.121,0.034434
HPPSC070A_J035022.8-501809,blue,57.595219,-50.302523,153.234,,419.622,,,,10.187,9.355,6.756,4.68,13.279,12.548,11.875,0.035911
HPPSC070A_J220914.0-274655,blue,332.308522,-27.781822,200.322,,831.741,432.7,233.5,89.8,12.613,12.516,8.628,6.559,15.523,14.737,14.439,0.023983
HPPSC070A_J012732.6+191044,blue,21.886044,19.178881,1381.523,,1369.375,519.6,194.1,58.6,10.176,9.454,6.204,3.729,12.657,12.043,11.36,0.017385
HPPSC070A_J141713.7+445630,blue,214.307227,44.941569,60.504,127.721,190.716,,,,13.49,13.283,9.712,8.199,15.557,14.93,14.292,0.113554
HPPSC070A_J153435.1+151201,blue,233.646266,15.200229,2760.711,3767.025,5012.011,,,,10.739,10.451,5.985,3.374,13.745,12.379,11.987,0.006535
HPPSC070A_J225509.4+005924,blue,343.789344,0.990058,33.405,47.593,65.083,,,,14.855,14.499,10.762,8.373,16.741,15.681,15.387,0.12335
HPPSC070A_J124547.1-023148,blue,191.446628,-2.529951,89.048,,134.596,,,,14.567,14.138,10.362,7.672,16.64,15.511,14.841,0.1274
HPPSC070A_J101805.6+214956,blue,154.523421,21.832345,2659.249,4164.845,,2386.5,1170.2,554.2,8.556,8.509,6.295,4.789,10.669,10.17,9.696,0.00424
HPPSC070A_J141922.3-263841,blue,214.843291,-26.644726,124.709,,,426.5,264.7,164.6,10.21,9.532,6.891,4.912,12.891,12.001,11.217,0.022389
HPPSC070A_J124404.0+514336,blue,191.016674,51.726804,54.31,106.288,135.835,,,,14.373,13.884,10.011,7.808,16.572,15.418,14.896,0.16793
HPPSC070A_J115324.0+580755,blue,178.350063,58.13202,67.763,100.624,,,,,14.509,14.248,10.143,7.697,16.675,16.135,15.607,0.065955
HPPSC070A_J125751.3+264808,blue,194.464014,26.802231,40.474,67.332,41.102,,,,15.213,14.961,10.873,8.045,17.097,16.077,15.553,0.1333
HPPSC070A_J080132.9+141343,blue,120.387472,14.228559,86.789,,175.89,105.2,51.5,,14.168,13.994,9.924,8.101,16.522,15.573,15.059,0.052903
HPPSC070A_J122147.7+042939,blue,185.449015,4.494088,100.726,,,,,,14.404,14.395,9.85,7.521,,,,0.005464
HPPSC070A_J111957.4+132546,blue,169.989247,13.429454,21.774,42.208,56.256,38,,,12.749,12.695,11.936,8.647,14.509,13.905,13.357,0.084621
HPPSC070A_J082300.9-045605,blue,125.753895,-4.934749,741.422,,1130.327,491.8,226.2,86.2,10.513,9.537,6.656,4.755,13.663,12.896,12.485,0.021815
HPPSC070A_J131503.5+243708,blue,198.764732,24.618811,19672.703,18138.214,10522.255,4144.8,1685.6,589.9,10.978,10.844,7.005,2.654,13.586,12.792,12.261,0.011164
HPPSC070A_J124536.0-021440,blue,191.400284,-2.244575,69.628,,,,,,14.381,14.061,10.56,7.878,16.293,15.467,14.774,0.092009
HPPSC070A_J040332.8-432400,blue,60.886672,-43.400065,808.082,827.695,717.662,,,,11.705,11.566,7.836,4.545,14.135,13.667,13.206,0.003045
HPPSC070A_J044347.0+285820,blue,70.945852,28.972174,473.491,,945.539,,,,10.511,9.709,6.726,4.29,13.712,12.754,12.167,0.021655
HPPSC070A_J134952.7+020446,blue,207.469976,2.079438,60.463,,,46,,,11.265,10.5,7.639,5.216,13.671,12.845,11.882,0.0327
HPPSC070A_J000340.2-001649,blue,0.917483,-0.280287,125.871,,168.721,81,,,13.958,13.658,9.843,7.906,15.984,15.352,14.71,0.061327
HPPSC070A_J181640.7+220647,blue,274.169627,22.113161,5085.586,7817.691,9016.582,5132,2784.9,,10.265,9.95,5.923,3.581,13.314,12.344,11.592,0.018676
HPPSC070A_J225419.6+114657,blue,343.582061,11.782433,613.941,,751.745,401.6,227.1,128,11.499,10.839,7.576,4.585,14.28,13.443,12.93,0.028273
HPPSC070A_J014346.7-155730,blue,25.944836,-15.958462,86.945,,,206.9,,,12.988,12.965,9.458,7.07,15.643,14.869,14.389,0.018426
HPPSC070A_J130157.6+280021,blue,195.490306,28.005806,153.497,354.245,421.541,203.2,87.6,,10.783,10.83,9.154,7.756,12.984,12.009,11.578,0.025898
HPPSC070A_J125934.3+272851,blue,194.892941,27.480951,36.622,54.276,,,,,14.986,14.524,11.126,8.245,16.789,16.088,15.547,0.1147
HPPSC070A_J122636.2+035752,blue,186.650909,3.9644,1628.363,1803.293,2138.18,918.6,,,11.39,11.23,6.865,3.654,14.013,13.306,12.787,0.007652
HPPSC070A_J134400.1+254117,blue,206.000547,25.687953,138.933,191.169,218.589,90.2,,,13.927,13.695,9.714,7.745,15.94,15.347,14.813,0.074834
HPPSC070A_J043704.4+294014,blue,69.26839,29.67058,27.15,19.535,,,,,13.851,13.357,10.999,7.759,16.828,15.642,15.004,0.2177
HPPSC070A_J130136.8+275602,blue,195.403631,27.934012,68.72,89.678,116.686,67.9,,,14.81,13.843,10.005,7.227,16.931,16.16,15.403,0.1795
HPPSC070A_J125931.4+271012,blue,194.881083,27.170118,23.054,,72.081,,,,15.849,15.718,11.624,8.825,,,,0.42295
HPPSC070A_J092159.3+450914,blue,140.497189,45.153801,264.809,274.883,206.812,,,,14.618,13.793,9.357,6.706,16.2,15.922,15.166,0.234794
HPPSC070A_J121323.6+144727,blue,183.34865,14.790824,43.868,82.968,180.583,87.7,,,13.796,13.629,10.048,8.951,16.069,15.329,14.955,0.063636
HPPSC070A_J052406.9-121009,blue,81.028743,-12.169183,346.946,,257.333,101.2,,,10.038,9.117,6.056,3.615,13.255,12.394,11.516,0.049
HPPSC070A_J144816.0+173306,blue,222.066786,17.551794,1177.397,1297.641,882.197,381.4,148.2,,13.466,13.177,9.481,6.301,15.58,14.694,14.27,0.153799
HPPSC070A_J135636.7-193143,blue,209.152939,-19.528677,270.49,,791.017,449.2,219.8,,11.056,10.438,7.412,5.102,15.36,14.61,12.231,0.035021
HPPSC070A_J023819.6-521133,blue,39.582046,-52.192385,100.699,,,,,,10.582,9.824,7.418,5.276,13.393,12.463,11.482,0.0455
HPPSC070A_J153231.8+575258,blue,233.132604,57.882709,1149.655,1239.202,969.526,389.7,167.8,,12.391,12.003,7.345,4.277,14.664,13.99,13.517,0.039237
HPPSC070A_J125726.8+264138,blue,194.361794,26.693804,18.88,49.251,,,,,14.109,14.064,11.809,8.64,15.902,15.274,14.974,0.024177
HPPSC070A_J193804.4-510949,blue,294.518467,-51.163638,80.083,,271.695,144.1,78,,11.148,10.445,7.908,5.594,14.465,13.75,12.915,0.040018
HPPSC070A_J124249.5-020058,blue,190.706542,-2.016081,96.363,,,,,,14.341,13.937,9.945,7.928,16.316,15.585,14.85,0.1047
HPPSC070A_J013400.1-260440,blue,23.500582,-26.077705,43.364,,92.054,,,,13.905,13.745,10.6,8.999,,,,0.0786
HPPSC070A_J102531.2+514036,blue,156.380305,51.676676,230.817,295.251,266.052,123.5,48.2,,11.179,10.362,7.688,5.569,14.293,13.474,12.718,0.044944
HPPSC070A_J143417.0+020744,blue,218.571098,2.128765,71.018,96.923,108.567,53.4,,,14.801,14.172,10.462,7.727,,,,0.180312
HPPSC070A_J223449.8-254037,blue,338.707573,-25.676819,114.753,,,193.6,,,11.004,10.825,8.762,6.491,13.389,12.606,12.261,0.026445
HPPSC070A_J154519.9+484748,blue,236.333068,48.796699,25.227,51.551,,,,,14.807,14.605,10.995,9.002,,,,0.038208
HPPSC070A_J065008.8+605045,blue,102.536692,60.845876,6822.39,7618.462,5975.258,2540.8,,,9.234,8.545,4.855,2.148,11.954,11.077,10.579,0.006138
HPPSC070A_J054349.3-020722,blue,85.955654,-2.122875,220.097,342.202,391.791,,,,13.013,12.738,8.995,6.955,16.009,14.922,14.098,0.08191
HPPSC070A_J125902.5+281900,blue,194.760459,28.316786,25.816,,,,,,15.058,14.839,11.619,8.763,16.459,16.226,15.659,0.0676
HPPSC070A_J002025.7+004935,blue,5.107366,0.826253,808.54,1181.14,1144.014,541.9,237.5,97.5,11.666,11.55,7.752,5.537,14.024,13.357,12.676,0.016942
HPPSC070A_J004113.6-095232,blue,10.306969,-9.875687,35.565,37.842,50.938,36.5,,,13.617,13.412,10.507,7.29,15.256,14.58,14.175,0.094102
HPPSC070A_J094255.2+465842,blue,145.730374,46.978249,9.003,20.519,49.415,,,,14.768,14.508,11.753,8.893,,,,0.3324
HPPSC070A_J141032.7-004827,blue,212.636555,-0.807398,35.343,59.888,70.417,,,,14.982,14.734,10.793,8.975,16.646,15.933,15.978,0.0831
HPPSC070A_J025401.6+145814,blue,43.506843,14.970662,8935.218,9932.794,7341.609,,,,10.909,10.206,5.406,2.216,13.707,13.125,12.513,0.031202
HPPSC070A_J105115.1-170030,blue,162.812999,-17.008235,446.857,,,,388.9,201,10.906,10.294,7.122,4.56,13.399,12.577,11.928,0.017522
HPPSC070A_J113249.2+101747,blue,173.205389,10.296299,95.691,,175.516,94.5,,,10.651,9.847,7.138,4.893,13.847,13.153,12.169,0.044037
HPPSC070A_J065549.5+400001,blue,103.956304,40.000276,379.6,,599.331,281.9,120.5,,11.135,10.672,7.469,5.013,13.348,12.571,11.93,0.017122
HPPSC070A_J130142.9+274452,blue,195.428991,27.747751,46.376,75.972,109.784,66.4,,,14.408,14.203,10.701,8.398,16.473,16.091,14.861,0.035404
HPPSC070A_J122938.9+112448,blue,187.41238,11.413247,67.144,142.738,153.065,110.5,44.9,,13.162,13.071,10.263,7.864,15.055,14.49,13.91,0.05817
HPPSC070A_J124608.7-022552,blue,191.536453,-2.431246,279.505,,447.642,,,,13.322,13.028,8.826,6.651,15.416,14.739,14.165,0.084959
HPPSC070A_J202615.1+071624,blue,306.562953,7.273413,33.976,,,,,,17.58,15.693,10.178,7.311,,,,2.54
HPPSC070A_J213202.9-334200,blue,323.012446,-33.699991,123.96,,256.756,162.6,64,,13.706,13.521,9.771,7.669,15.537,14.817,14.358,0.0293
