name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J035409.4+024930,blue,58.539557,2.825096,185.957,,,,,,11.283,10.226,7.094,4.544,14.189,13.263,12.309,0.036
HPPSC070A_J035022.8-501809,blue,57.595219,-50.302523,153.234,,419.622,,,,10.187,9.355,6.756,4.68,13.279,12.548,11.875,0.035911
HPPSC070A_J082300.9-045605,blue,125.753895,-4.934749,741.422,,1130.327,491.8,226.2,86.2,10.513,9.537,6.656,4.755,13.663,12.896,12.485,0.021815
HPPSC070A_J044347.0+285820,blue,70.945852,28.972174,473.491,,945.539,,,,10.511,9.709,6.726,4.29,13.712,12.754,12.167,0.021655
HPPSC070A_J134952.7+020446,blue,207.469976,2.079438,60.463,,,46,,,11.265,10.5,7.639,5.216,13.671,12.845,11.882,0.0327
HPPSC070A_J052406.9-121009,blue,81.028743,-12.169183,346.946,,257.333,101.2,,,10.038,9.117,6.056,3.615,13.255,12.394,11.516,0.049
HPPSC070A_J193804.4-510949,blue,294.518467,-51.163638,80.083,,271.695,144.1,78,,11.148,10.445,7.908,5.594,14.465,13.75,12.915,0.040018
HPPSC070A_J102531.2+514036,blue,156.380305,51.676676,230.817,295.251,266.052,123.5,48.2,,11.179,10.362,7.688,5.569,14.293,13.474,12.718,0.044944
HPPSC070A_J105115.1-170030,blue,162.812999,-17.008235,446.857,,,,388.9,201,10.906,10.294,7.122,4.56,13.399,12.577,11.928,0.017522
HPPSC070A_J113249.2+101747,blue,173.205389,10.296299,95.691,,175.516,94.5,,,10.651,9.847,7.138,4.893,13.847,13.153,12.169,0.044037
HPPSC070A_J202615.1+071624,blue,306.562953,7.273413,33.976,,,,,,17.58,15.693,10.178,7.311,,,,2.54
HPPSC070A_J112723.4-291528,blue,171.847622,-29.257816,477.069,,,,,,10.92,10.581,6.498,3.858,13.699,12.859,12.366,0.02389
HPPSC070A_J133553.7-341745,blue,203.974109,-34.295823,1177.266,,734.218,244.2,95.6,,8.692,7.768,4.942,2.626,12.207,11.288,10.286,0.007749
HPPSC070A_J213833.5+320506,blue,324.63965,32.085095,416.858,,436.67,202.4,93.2,,10.269,9.443,6.266,3.852,12.856,12.143,11.533,0.0248
HPPSC070A_J132232.5-032841,blue,200.635521,-3.478041,41.511,,71.776,68.9,48.5,,18.004,16.056,10.262,7.154,,,,3.043
HPPSC070A_J184454.0-622152,blue,281.225096,-62.364512,1978.479,,1463.887,558.4,252.3,,8.583,7.711,4.891,2.446,12.337,11.271,10.288,0.014178
HPPSC070A_J083830.6-355933,blue,129.627655,-35.992412,1080.915,,1092.135,,,,9.648,8.683,5.515,2.982,12.879,12.045,11.164,0.031578
HPPSC070A_J065212.4+742536,blue,103.051724,74.426757,1102.992,,778.442,,,,8.409,7.622,5.207,2.818,11.995,10.959,10.042,0.018813
HPPSC070A_J143029.8+133912,blue,217.62454,13.653323,372.381,394.679,300.414,,,,11.67,10.504,7.144,4.156,14.322,13.786,13.171,0.085163
HPPSC070A_J041452.6-075540,blue,63.7193,-7.927726,586.954,,423.204,,,,9.617,8.526,5.438,3.103,12.734,11.924,10.916,0.03816
HPPSC070A_J141348.4+440014,blue,213.451656,44.003768,103.406,119.247,124.574,,44.5,,10.035,8.974,6.411,4.487,13.301,12.497,11.505,0.0896
HPPSC070A_J192114.0-584013,blue,290.308629,-58.670155,509.215,,984.81,,,,8.998,8.13,5.714,3.601,12.667,11.772,10.717,0.037109
HPPSC070A_J064118.0+324932,blue,100.325145,32.825461,87.897,,,,,,11.66,10.551,7.352,4.937,14.923,13.902,13.244,0.047
HPPSC070A_J050545.7-235113,blue,76.440445,-23.853661,184.169,,,90,,,11.66,10.37,6.942,4.567,14.789,13.867,12.818,0.035041
HPPSC070A_J092512.6+521712,blue,141.30282,52.286795,102.409,106.21,104.975,,,,10.391,9.414,6.725,4.714,13.872,13.159,12.252,0.035291
HPPSC070A_J042224.1-561332,blue,65.600735,-56.225455,81.568,,,,,,10.288,9.521,7.23,5.15,13.819,12.778,11.962,0.04353
HPPSC070A_J004847.1+315724,blue,12.196395,31.956698,743.766,695.406,748.92,351.9,,,9.396,8.189,5.077,2.68,12.954,12.304,11.546,0.015034
