name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J054419.3+283140,blue,86.080495,28.527861,526.579,,1331.641,722.5,,,12.154,11.844,7.998,6.153,14.847,13.641,13.41,,
HPPSC070A_J050547.1-234902,blue,76.446604,-23.817112,118.598,,333.937,,,,14.222,14.018,10.008,7.943,15.59,14.775,14.584,,
HPPSC070A_J215058.6+562734,blue,327.744375,56.459562,167.022,,569.477,,,,,,,,15.609,14.416,13.508,,
HPPSC070A_J045146.2+302246,blue,72.942826,30.379494,321.368,,785.671,404.1,,,12.947,12.657,8.5,6.145,15.736,14.891,14.41,,
HPPSC070A_J083921.4+045157,blue,129.839193,4.865718,47.132,,103.036,93.6,50.1,,15.498,15.19,11.452,8.276,,,,,
HPPSC070A_J045426.8+450040,blue,73.6117,45.011246,128.473,,492.822,344.4,,,12.651,12.413,9.042,7.392,15.517,14.849,13.424,,
HPPSC070A_J045148.8+464822,blue,72.953701,46.806217,172.168,,285.073,140.4,,,13.571,13.287,9.28,6.633,16.098,15.065,14.351,,
HPPSC070A_J064648.6+004133,blue,101.702748,0.692511,775.416,,1643.898,,,,12.02,11.795,7.662,5.822,14.872,13.804,12.714,,
HPPSC070A_J112051.3+132928,blue,170.213783,13.491071,10.378,16.594,21.423,,,,16.708,16.418,12.303,8.465,,,,,
HPPSC070A_J002616.3+642133,blue,6.568015,64.359219,1026.665,,1825.041,,,,12.376,11.881,7.546,5.731,15.761,15.339,14.239,,
HPPSC070A_J112003.5+134410,blue,170.014862,13.736076,15.902,28.352,,,,,16.369,16.11,12.013,8.752,,,,,
HPPSC070A_J232700.8+011250,blue,351.753607,1.213787,17.618,,51.164,,,,15.271,14.882,11.578,8.814,17.101,16.449,15.73,,
HPPSC070A_J164000.9-222320,blue,250.003807,-22.388954,645.921,,2178.976,1100.5,622.2,,11.718,11.523,7.442,5.375,15.195,14.062,13.433,,
HPPSC070A_J104236.6-761214,blue,160.652608,-76.203844,113.203,,193.538,166,68.1,,13.197,12.947,9.575,7.963,15.351,14.47,13.945,,
HPPSC070A_J125128.3+411051,blue,192.867907,41.180735,46.488,76.493,98.539,68.1,,,,,,,,,,,
HPPSC070A_J061000.8-054029,blue,92.503725,-5.674744,97.68,,,161.4,,,13.295,12.927,9.532,7.301,15.888,14.82,14.126,,
HPPSC070A_J031615.1-022239,blue,49.063276,-2.377487,51.74,95.591,158.438,77.5,,,,,,,15.955,15.428,14.99,,
HPPSC070A_J153957.4-341457,blue,234.989271,-34.249199,548.851,,1445.729,731.5,296.6,,11.394,11.206,7.494,5.754,13.708,12.939,12.387,,
HPPSC070A_J132908.7+470514,blue,202.286598,47.087277,28.202,,79.329,30.7,,,15.866,15.513,11.662,8.897,,,,,
HPPSC070A_J061306.4-072039,blue,93.27666,-7.344285,66.88,,,,,,14.093,13.803,10.188,7.969,16.201,15.493,14.709,,
HPPSC070A_J031800.4-663451,blue,49.501965,-66.580796,11.082,,,,,,,,,,,,,,
HPPSC070A_J124201.6+411757,blue,190.507033,41.2991,28.346,70.587,,53.8,26.8,,14.891,14.408,10.855,8.906,,,,,
HPPSC070A_J120304.6-015640,blue,180.769551,-1.944528,56.605,77.175,92.07,,,,14.955,14.632,11.205,8.314,,,,,
