name,band,ra,dec,raerr,decerr,flux,type,activity type
HPPSC070A_J054419.3+283140,blue,86.080495,28.527861,0.000119,0.000104,526.579,b'G',
HPPSC070A_J050547.1-234902,blue,76.446604,-23.817112,0.000137,0.000125,118.598,b'G',
HPPSC070A_J215058.6+562734,blue,327.744375,56.459562,0.000694,0.000384,167.022,b'G',
HPPSC070A_J045146.2+302246,blue,72.942826,30.379494,0.000276,0.000238,321.368,b'G',
HPPSC070A_J035409.4+024930,blue,58.539557,2.825096,0.000034,0.000034,185.957,b'G',
HPPSC070A_J083921.4+045157,blue,129.839193,4.865718,0.000078,0.000077,47.132,b'G',
HPPSC070A_J045426.8+450040,blue,73.6117,45.011246,0.000526,0.000372,128.473,b'G',
HPPSC070A_J074901.3-261443,blue,117.25552,-26.245204,0.000133,0.000119,518.731,b'G',
HPPSC070A_J045148.8+464822,blue,72.953701,46.806217,0.000334,0.000229,172.168,b'G',
HPPSC070A_J080446.4+104635,blue,121.1935,10.776423,0.000015,0.000015,634.92,b'G',
HPPSC070A_J035022.8-501809,blue,57.595219,-50.302523,0.000079,0.000051,153.234,b'G',
HPPSC070A_J064648.6+004133,blue,101.702748,0.692511,0.000101,0.000101,775.416,b'G',
HPPSC070A_J112051.3+132928,blue,170.213783,13.491071,0.000263,0.000256,10.378,b'G',
HPPSC070A_J002616.3+642133,blue,6.568015,64.359219,0.000173,0.000075,1026.665,b'G',
HPPSC070A_J112003.5+134410,blue,170.014862,13.736076,0.000282,0.000274,15.902,b'G',
HPPSC070A_J220914.0-274655,blue,332.308522,-27.781822,0.000099,0.000088,200.322,b'G',
HPPSC070A_J232700.8+011250,blue,351.753607,1.213787,0.000175,0.000175,17.618,b'G',
HPPSC070A_J164000.9-222320,blue,250.003807,-22.388954,0.000228,0.000211,645.921,b'G',
HPPSC070A_J012732.6+191044,blue,21.886044,19.178881,0.00001,0.00001,1381.523,b'G',Seyfert
HPPSC070A_J104236.6-761214,blue,160.652608,-76.203844,0.00175,0.000417,113.203,b'G',
HPPSC070A_J125128.3+411051,blue,192.867907,41.180735,0.000265,0.000199,46.488,b'G',
HPPSC070A_J141713.7+445630,blue,214.307227,44.941569,0.000179,0.000127,60.504,b'G',
HPPSC070A_J061000.8-054029,blue,92.503725,-5.674744,0.000177,0.000176,97.68,b'G',
HPPSC070A_J031615.1-022239,blue,49.063276,-2.377487,0.000165,0.000165,51.74,b'G',
HPPSC070A_J153957.4-341457,blue,234.989271,-34.249199,0.000133,0.00011,548.851,b'G',
HPPSC070A_J153435.1+151201,blue,233.646266,15.200229,0.000006,0.000006,2760.711,b'G',
HPPSC070A_J132908.7+470514,blue,202.286598,47.087277,0.000428,0.000291,28.202,b'G',
HPPSC070A_J061306.4-072039,blue,93.27666,-7.344285,0.000193,0.000191,66.88,b'G',
HPPSC070A_J031800.4-663451,blue,49.501965,-66.580796,0.000225,0.000089,11.082,b'G',
HPPSC070A_J124201.6+411757,blue,190.507033,41.2991,0.000316,0.000237,28.346,b'G',
HPPSC070A_J120304.6-015640,blue,180.769551,-1.944528,0.000082,0.000082,56.605,b'G',
HPPSC070A_J225509.4+005924,blue,343.789344,0.990058,0.000187,0.000187,33.405,b'G',
HPPSC070A_J124547.1-023148,blue,191.446628,-2.529951,0.000155,0.000155,89.048,b'G',
HPPSC070A_J101805.6+214956,blue,154.523421,21.832345,0.00001,0.000009,2659.249,b'G',
HPPSC070A_J141922.3-263841,blue,214.843291,-26.644726,0.000092,0.000082,124.709,b'G',S1
HPPSC070A_J032554.4+563347,blue,51.476922,56.562996,0.000353,0.000195,404.824,b'G',
HPPSC070A_J032908.4+310910,blue,52.284998,31.152845,0.000552,0.000473,147.637,b'G',
HPPSC070A_J104955.1+325926,blue,162.479926,32.990454,0.000012,0.00001,2975.672,b'G',
HPPSC070A_J091205.9+600250,blue,138.024876,60.047122,0.000376,0.000188,22.865,b'G',
HPPSC070A_J124404.0+514336,blue,191.016674,51.726804,0.000266,0.000165,54.31,b'G',
HPPSC070A_J114312.9+195727,blue,175.804119,19.957584,0.000299,0.000281,12.514,b'G',
HPPSC070A_J052742.4+370633,blue,81.926734,37.109264,0.00043,0.000343,261.634,b'G',
HPPSC070A_J055952.4+252827,blue,89.96852,25.474186,0.000231,0.000209,244.811,b'G',
HPPSC070A_J094718.3+675220,blue,146.826381,67.87226,0.000462,0.000174,33.466,b'G',
HPPSC070A_J164032.3-210018,blue,250.134865,-21.004953,0.00031,0.000289,226.476,b'G',
HPPSC070A_J115324.0+580755,blue,178.350063,58.13202,0.000167,0.000088,67.763,b'G',
HPPSC070A_J125751.3+264808,blue,194.464014,26.802231,0.000169,0.000151,40.474,b'G',
